,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
83339,9.0,15.0,3.0,2.0,1.0,7.0,6.0,2.0,3.3333333333333335,3.0,4.0,4.0,True,8.0,3.75,3.5,5.0,3.0
83344,53.0,2.0,2.0,2.0,51.0,0.0,1.0,0.0,0.07547169811320754,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
83345,35.0,17.0,2.0,2.0,18.0,0.0,4.0,0.0,0.9714285714285714,1.0,0.0,3.0,True,1.0,34.0,34.0,34.0,34.0
83348,16.0,26.0,5.0,3.0,1.0,11.0,6.0,1.0,3.25,3.0,2.0,3.0,True,12.0,4.333333333333333,4.0,10.0,3.0
83350,98.0,76.0,2.0,2.0,25.0,3.0,5.0,0.0,1.5510204081632653,1.0,2.0,4.0,True,4.0,38.0,10.0,127.0,5.0
83351,10.0,14.0,4.0,2.0,1.0,5.0,4.0,1.0,2.8,3.0,4.0,3.0,True,6.0,4.666666666666667,4.0,9.0,3.0
83352,19.0,24.0,2.0,2.0,2.0,7.0,6.0,0.0,2.526315789473684,3.0,3.0,4.0,True,8.0,6.0,6.0,9.0,4.0
83355,82.0,14.0,2.0,2.0,68.0,0.0,3.0,0.0,0.34146341463414637,0.0,0.0,3.0,True,1.0,28.0,28.0,28.0,28.0
83357,38.0,25.0,2.0,2.0,15.0,2.0,3.0,0.0,1.3157894736842106,1.0,0.0,3.0,True,3.0,16.666666666666668,8.0,39.0,3.0
83361,7.0,10.0,3.0,2.0,1.0,4.0,5.0,1.0,2.857142857142857,3.0,3.0,3.0,True,5.0,4.0,3.0,6.0,3.0
83366,94.0,24.0,2.0,2.0,70.0,0.0,3.0,0.0,0.5106382978723404,0.0,0.0,2.0,True,1.0,48.0,48.0,48.0,48.0
83368,46.0,30.0,2.0,2.0,18.0,2.0,4.0,0.0,1.3043478260869565,1.0,1.0,3.0,True,3.0,20.0,4.0,53.0,3.0
83370,76.0,12.0,2.0,2.0,64.0,0.0,2.0,0.0,0.3157894736842105,0.0,0.0,3.0,True,1.0,24.0,24.0,24.0,24.0
83371,50.0,19.0,2.0,2.0,32.0,1.0,3.0,0.0,0.76,1.0,1.0,3.0,True,2.0,19.0,19.0,35.0,3.0
83373,17.0,14.0,2.0,2.0,8.0,5.0,6.0,0.0,1.6470588235294117,2.0,0.0,3.0,True,6.0,4.666666666666667,3.5,11.0,3.0
83374,29.0,16.0,2.0,2.0,13.0,0.0,3.0,0.0,1.103448275862069,1.0,2.0,3.0,True,1.0,32.0,32.0,32.0,32.0
83375,56.0,18.0,2.0,2.0,38.0,0.0,2.0,0.0,0.6428571428571429,0.0,0.0,2.0,True,1.0,36.0,36.0,36.0,36.0
83377,15.0,8.0,2.0,2.0,9.0,2.0,4.0,0.0,1.0666666666666667,1.0,0.0,3.0,True,3.0,5.333333333333333,3.0,10.0,3.0
83379,33.0,30.0,2.0,2.0,6.0,3.0,4.0,0.0,1.8181818181818181,2.0,2.0,3.0,True,4.0,15.0,10.5,34.0,5.0
83380,55.0,50.0,2.0,2.0,11.0,6.0,5.0,0.0,1.8181818181818181,2.0,1.0,4.0,True,7.0,14.285714285714286,7.0,59.0,4.0
83385,14.0,13.0,2.0,2.0,6.0,5.0,7.0,0.0,1.8571428571428572,1.0,0.0,4.0,True,6.0,4.333333333333333,3.0,11.0,3.0
83386,23.0,23.0,2.0,2.0,4.0,4.0,5.0,0.0,2.0,2.0,2.0,4.0,True,5.0,9.2,9.0,15.0,4.0
83390,17.0,25.0,5.0,3.0,1.0,9.0,6.0,1.0,2.9411764705882355,3.0,2.0,4.0,True,10.0,5.0,4.0,16.0,3.0
83391,12.0,8.0,2.0,2.0,5.0,1.0,4.0,0.0,1.3333333333333333,1.0,2.0,3.0,True,2.0,8.0,8.0,13.0,3.0
83392,22.0,14.0,2.0,2.0,11.0,3.0,5.0,0.0,1.2727272727272727,1.0,1.0,3.0,True,4.0,7.0,3.5,18.0,3.0
83393,28.0,22.0,2.0,2.0,8.0,2.0,5.0,0.0,1.5714285714285714,1.0,1.0,3.0,True,3.0,14.666666666666666,3.0,38.0,3.0
83394,54.0,25.0,2.0,2.0,29.0,0.0,3.0,0.0,0.9259259259259259,1.0,1.0,3.0,True,1.0,50.0,50.0,50.0,50.0
83398,74.0,40.0,2.0,2.0,34.0,0.0,4.0,0.0,1.0810810810810811,1.0,1.0,3.0,True,1.0,80.0,80.0,80.0,80.0
83399,40.0,42.0,2.0,2.0,5.0,7.0,6.0,0.0,2.1,2.0,2.0,3.0,True,8.0,10.5,5.0,51.0,3.0
83400,10.0,16.0,4.0,2.0,1.0,7.0,5.0,1.0,3.2,3.0,5.0,4.0,True,8.0,4.0,3.0,9.0,3.0
83401,32.0,20.0,2.0,2.0,13.0,1.0,5.0,0.0,1.25,1.0,1.0,3.0,True,2.0,20.0,20.0,36.0,4.0
83402,13.0,11.0,2.0,2.0,3.0,1.0,3.0,0.0,1.6923076923076923,1.0,1.0,2.0,True,2.0,11.0,11.0,18.0,4.0
